Date,HomeTeam,AwayTeam,FTHG,FTAG,home_form_last5,away_form_last5,home_goals_scored_last5,away_goals_scored_last5,home_goals_conceded_last5,away_goals_conceded_last5,home_goals_diff_last5,away_goals_diff_last5,home_win_rate_last5,away_win_rate_last5,head2head_form_last3,head2head_goal_diff_last3,FTR
2019-07-26,Genk,Kortrijk,2,1,,,,,,,,,,,,,1
2019-07-27,Cercle brugge,Standard,0,2,,,,,,,,,,,,,-1
2019-07-27,St truiden,Mouscron,0,1,,,,,,,,,,,,,-1
2019-07-27,Waregem,Mechelen,0,2,,,,,,,,,,,,,-1
2019-07-27,Waasland-beveren,Club brugge,1,3,,,,,,,,,,,,,-1
2019-07-28,Anderlecht,Oostende,1,2,,,,,,,,,,,,,-1
2019-07-28,Charleroi,Gent,1,1,,,,,,,,,,,,,0
2019-07-28,Eupen,Antwerp,1,4,,,,,,,,,,,,,-1
2019-08-02,Club brugge,St truiden,6,0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,-1.0,1.0,0.0,,,1
2019-08-03,Oostende,Cercle brugge,3,1,3.0,0.0,2.0,0.0,1.0,2.0,1.0,-2.0,1.0,0.0,,,1
2019-08-03,Kortrijk,Charleroi,1,1,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,0.0,0.0,0.0,,,0
2019-08-03,Mechelen,Genk,3,1,3.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,,,1
2019-08-03,Standard,Waregem,4,0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,-2.0,1.0,0.0,,,1
2019-08-04,Mouscron,Anderlecht,0,0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,-1.0,1.0,0.0,,,0
2019-08-04,Gent,Eupen,6,1,1.0,0.0,1.0,1.0,1.0,4.0,0.0,-3.0,0.0,0.0,,,1
2019-08-04,Antwerp,Waasland-beveren,4,1,3.0,0.0,4.0,1.0,1.0,3.0,3.0,-2.0,1.0,0.0,,,1
2019-08-09,Anderlecht,Mechelen,0,0,0.5,3.0,0.5,2.5,1.0,0.5,-0.5,2.0,0.0,1.0,,,0
2019-08-10,Genk,Waregem,0,2,1.5,0.0,1.5,0.0,2.0,3.0,-0.5,-3.0,0.5,0.0,,,-1
2019-08-10,Oostende,Club brugge,0,2,3.0,3.0,2.5,4.5,1.0,0.5,1.5,4.0,1.0,1.0,,,-1
2019-08-10,Cercle brugge,Kortrijk,1,3,0.0,0.5,0.5,1.0,2.5,1.5,-2.0,-0.5,0.0,0.0,,,-1
2019-08-10,Eupen,Waasland-beveren,1,1,0.0,0.0,1.0,1.0,5.0,3.5,-4.0,-2.5,0.0,0.0,,,0
2019-08-11,St truiden,Standard,2,1,0.0,3.0,0.0,3.0,3.5,0.0,-3.5,3.0,0.0,1.0,,,1
2019-08-11,Charleroi,Antwerp,2,1,1.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,1.0,,,1
2019-08-11,Mouscron,Gent,2,1,2.0,2.0,0.5,3.5,0.0,1.0,0.5,2.5,0.5,0.5,,,1
